Name,Album,Song,TrackNo,String6,String5,String4,String3,String2,String1
Thurston,Dirty,Youth Against Fascism,9,A3,C3,C3,G3,G#3,C4
Thurston,Dirty,Nic Fit,10,G2,G2,D3,D3,D#3,D#3
Thurston,Dirty,On the Strip,11,A3,C3,C3,G3,G#3,C4
Thurston,Dirty,Chapel Hil,12,E2,G2,D3,G3,E3,D4
Thurston,Dirty,JC,13,E2,G2,D3,G3,E3,D4
Thurston,Dirty,Purr,14,E2,G2,D3,G3,E3,D4
Thurston,Dirty,Creme Brulee,15,,,,,,
Lee,Dirty,100%,1,F#2,F#2,F#3,F#3,E3,B4
Lee,Dirty,Swimsuit Issue,2,E2,E2,B3,B3,E3,F#3
Lee,Dirty,Theresa's Sound-World,3,A3,A3,E3,E3,A4,A4
Lee,Dirty,Drunken Butterfly,4,F#2,F#2,G3,G3,A4,A4
Lee,Dirty,Shoot,5,A3,F#3,E3,F#3,E3,B4
Lee,Dirty,Wish Fulfillment,6,E2,E2,B3,B3,E3,F#3
Lee,Dirty,Sugar Kane,7,G2,G2,B3,D3,G3,A4
Lee,Dirty,"Orange Rolls, Angel's Spit",8,G2,G2,D3,D3,D#3,D#3
Lee,Dirty,Youth Against Fascism,9,A3,A3,E3,E3,A4,A4
Lee,Dirty,Nic Fit,10,D#2,D#2,C#3,C#3,G3,G3
Lee,Dirty,On the Strip,11,A3,A3,E3,E3,A4,A4
Lee,Dirty,Chapel Hil,12,E2,E2,B3,B3,E3,F#3
Lee,Dirty,JC,13,E2,E2,B3,B3,E3,F#3
Lee,Dirty,Purr,14,E2,E2,B3,B3,E3,F#3
Lee,Dirty,Creme Brulee,15,,,,,,
Kim,Dirty,100%,1,,,,,,
Kim,Dirty,Swimsuit Issue,2,D2,E2,G2,D3,B3,B3
Kim,Dirty,Theresa's Sound-World,3,,,,,,
Kim,Dirty,Drunken Butterfly,4,,,,,,
Kim,Dirty,Shoot,5,,,,,,
Kim,Dirty,Wish Fulfillment,6,D2,E2,G2,D3,B3,B3
Kim,Dirty,Sugar Kane,7,,,,,,
Kim,Dirty,"Orange Rolls, Angel's Spit",8,,,,,,
Kim,Dirty,Youth Against Fascism,9,,,,,,
Kim,Dirty,Nic Fit,10,,,,,,
Kim,Dirty,On the Strip,11,D2,E2,G2,D3,B3,B3
Kim,Dirty,Chapel Hil,12,,,,,,
Kim,Dirty,JC,13,,,,,,
Kim,Dirty,Purr,14,,,,,,
Kim,Dirty,Creme Brulee,15,D2,E2,G2,D3,B3,B3
Thurston,"Experimental Jet Set, Trash and No Star",Winner's Blues,1,E2,E2,B3,E3,G#3,B4
Thurston,"Experimental Jet Set, Trash and No Star",Bull in the Heather,2,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Starfield Road,3,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Skink,4,E2,G2,D3,G3,E3,D4
Thurston,"Experimental Jet Set, Trash and No Star",Screaming Skull,5,E2,G2,D3,G3,E3,D4
Thurston,"Experimental Jet Set, Trash and No Star",Self-Obsessed and Sexxee,6,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Bone,7,E2,G2,D3,G3,E3,D4
Thurston,"Experimental Jet Set, Trash and No Star",Androgynous Mind,8,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Quest for the Cup,9,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Waist,10,F#2,F#2,F#3,F#3,E3,B4
Thurston,"Experimental Jet Set, Trash and No Star",Doctor's Orders,11,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Tokyo Eye,12,E2,G2,D3,G3,E3,D4
Thurston,"Experimental Jet Set, Trash and No Star",In the Mind of the Bourgeois Reader,13,G2,G2,D3,D3,D#3,D#3
Thurston,"Experimental Jet Set, Trash and No Star",Sweet Shine,14,F#2,F#2,F#3,F#3,E3,B4
Lee,"Experimental Jet Set, Trash and No Star",Winner's Blues,1,,,,,,
Lee,"Experimental Jet Set, Trash and No Star",Bull in the Heather,2,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Starfield Road,3,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Skink,4,E2,E2,B3,B3,E3,F#3
Lee,"Experimental Jet Set, Trash and No Star",Screaming Skull,5,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Self-Obsessed and Sexxee,6,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Bone,7,F#2,F#2,F#3,F#3,E3,B4
Lee,"Experimental Jet Set, Trash and No Star",Androgynous Mind,8,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Quest for the Cup,9,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Waist,10,F#2,F#2,F#3,F#3,E3,B4
Lee,"Experimental Jet Set, Trash and No Star",Doctor's Orders,11,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Tokyo Eye,12,E2,E2,B3,B3,E3,F#3
Lee,"Experimental Jet Set, Trash and No Star",In the Mind of the Bourgeois Reader,13,G2,G2,C3,G3,C4,D4
Lee,"Experimental Jet Set, Trash and No Star",Sweet Shine,14,E2,E2,B3,B3,E3,F#3
Kim,"Experimental Jet Set, Trash and No Star",Winner's Blues,1,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Bull in the Heather,2,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Starfield Road,3,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Skink,4,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Screaming Skull,5,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Self-Obsessed and Sexxee,6,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Bone,7,B2,E2,G3,D3,B3,B3
Kim,"Experimental Jet Set, Trash and No Star",Androgynous Mind,8,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Quest for the Cup,9,B2,E2,G3,D3,B3,B3
Kim,"Experimental Jet Set, Trash and No Star",Waist,10,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Doctor's Orders,11,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Tokyo Eye,12,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",In the Mind of the Bourgeois Reader,13,,,,,,
Kim,"Experimental Jet Set, Trash and No Star",Sweet Shine,14,,,,,,
Thurston,Washing Machine,Becuz,1,F#2,F#2,F#3,F#3,E3,B4
